139 55 11 
190 12 0 
170 65 0 
168 34 2 
198 67 1 
188 48 8 
102 41 0 
178 62 6 
156 68 0 
229 61 5 
164 57 18 
97 25 0 
128 46 0 
246 89 3 
131 43 0 
321 25 14 
98 15 19 
231 42 17 
205 31 1 
151 59 6 
134 54 1 
215 16 0 
111 34 1 
120 30 10 
83 26 9 
379 67 4 
219 47 0 
229 64 5 
365 101 17 
244 64 9 
216 40 6 
143 25 4 
264 63 3 
94 32 1 
298 87 6 
135 23 19 
234 64 15 
174 69 16 
217 27 6 
159 91 6 
325 48 41 
236 89 2 
134 57 20 
150 28 2 
121 24 9 
187 71 9 
210 128 2 
165 30 15 
167 95 5 
267 95 8 
115 37 0 
274 69 5 
171 37 1 
148 56 6 
109 53 18 
198 125 7 
110 37 11 
237 102 0 
258 115 0 
128 43 5 
202 76 5 
222 20 1 
162 28 2 
299 53 3 
186 47 6 
119 54 3 
267 44 4 
246 57 0 
263 101 1 
263 67 4 
178 88 5 
241 23 1 
154 24 8 
133 52 4 
251 33 10 
207 98 10 
185 54 8 
158 49 4 
226 49 7 
175 32 6 
224 55 16 
286 40 11 
186 74 7 
260 54 11 
220 36 0 
237 55 1 
295 79 5 
261 24 0 
220 92 3 
95 33 14 
168 56 0 
181 31 34 
254 65 22 
218 66 5 
210 48 4 
173 28 8 
118 76 15 
276 35 6 
154 47 0 
222 66 1 
352 105 4 
199 42 33 
193 47 0 
242 49 2 
158 37 11 
411 86 3 
182 100 0 
269 50 0 
205 54 0 
264 57 16 
254 43 5 
177 46 6 
238 66 18 
154 41 10 
159 61 7 
240 24 0 
193 49 13 
163 60 12 
167 49 1 
139 57 8 
210 33 0 
118 29 0 
263 65 10 
263 40 2 
105 48 6 
233 71 4 
199 66 1 
236 116 19 
248 71 8 
222 30 38 
156 44 5 
105 31 0 
149 66 2 
236 46 2 
213 89 8 
355 78 30 
159 41 12 
208 36 2 
165 34 4 
174 76 8 
169 25 11 
180 52 1 
118 61 0 
99 25 3 
114 50 3 
197 20 6 
171 57 6 
300 98 0 
184 54 3 
113 85 5 
145 13 3 
188 17 1 
114 10 7 
171 36 2 
158 51 0 
178 46 8 
149 33 0 
121 43 0 
219 40 17 
316 55 7 
97 27 0 
256 33 0 
189 50 0 
212 58 43 
155 36 2 
186 47 15 
173 44 0 
164 43 2 
204 57 1 
177 55 12 
153 57 11 
179 118 25 
259 108 0 
147 22 4 
275 58 3 
298 61 13 
219 47 3 
267 62 8 
134 35 1 
193 48 14 
153 32 0 
175 47 2 
219 97 9 
283 86 6 
197 48 12 
72 11 4 
157 40 4 
166 77 9 
205 110 13 
391 159 15 
256 44 12 
119 58 3 
170 68 6 
115 21 0 
124 46 0 
108 17 11 
193 74 0 
209 27 5 
190 41 2 
199 85 4 
137 42 1 
96 21 0 
275 60 25 
299 85 12 
237 89 23 
126 58 13 
280 95 0 
157 55 13 
237 69 1 
165 49 8 
109 40 0 
118 76 5 
181 57 13 
269 95 23 
188 84 8 
152 37 23 
155 82 6 
283 17 0 
149 34 0 
250 81 1 
136 67 9 
265 54 1 
127 53 0 
164 50 9 
202 32 1 
293 87 1 
124 28 4 
165 22 0 
326 82 10 
171 18 0 
192 23 1 
248 56 4 
214 47 5 
215 45 0 
150 86 4 
131 18 0 
164 41 0 
298 76 1 
266 38 16 
145 48 4 
192 38 3 
142 26 8 
206 30 0 
186 51 0 
160 50 0 
189 107 4 
145 18 1 
192 52 8 
154 32 0 
328 110 5 
147 25 3 
216 110 18 
131 2 0 
117 75 3 
184 56 2 
212 43 1 
166 39 9 
123 48 10 
197 44 0 
206 88 7 
165 28 2 
178 87 12 
112 36 5 
240 30 0 
89 58 5 
211 16 0 
268 87 26 
215 68 28 
273 64 12 
288 69 18 
199 34 8 
229 76 13 
214 60 38 
96 16 0 
170 36 3 
295 45 3 
189 57 9 
168 21 4 
139 38 0 
90 12 0 
224 119 11 
232 62 2 
145 24 3 
150 30 0 
222 35 1 
190 95 0 
216 23 0 
176 73 6 
257 44 0 
283 107 18 
161 55 2 
149 34 5 
237 72 24 
104 31 2 
247 62 13 
180 23 0 
229 36 2 
253 61 21 
198 44 3 
164 50 4 
197 90 6 
185 31 2 
183 26 3 
325 53 0 
285 44 2 
192 51 11 
219 75 6 
177 36 3 
194 26 21 
96 19 6 
145 48 1 
196 33 22 
117 17 7 
182 16 1 
128 16 3 
271 75 0 
163 95 3 
183 62 12 
324 96 2 
146 74 8 
207 71 0 
215 38 6 
212 63 13 
231 69 12 
101 11 5 
162 37 8 
245 82 18 
114 27 1 
222 27 1 
234 87 4 
108 43 0 
144 35 2 
303 116 4 
306 79 6 
259 99 6 
130 47 3 
313 94 3 
204 70 0 
177 34 0 
179 21 6 
110 42 0 
317 99 16 
189 60 12 
112 10 3 
321 76 0 
196 35 17 
307 33 5 
235 59 5 
284 71 0 
191 63 19 
251 42 6 
224 75 0 
100 20 8 
103 40 0 
166 55 2 
227 102 2 
270 67 13 
226 99 8 
215 116 17 
167 62 2 
