# L=4,N=4,l_A=2,U=1.0
# beta    S2(l_A)   Error
  0.1000  1.471484  0.003158
  1.0000  1.171863  0.004704
  2.0000  1.133011  0.006640
  3.0000  1.138679  0.008365
  4.0000  1.135470  0.008546
  5.0000  1.147259  0.007588
