# U      S2       error
0.030000 1.204261 0.039995
0.045977 1.169667 0.026375
0.070461 1.185987 0.031270
0.107985 1.165285 0.040320
0.165493 1.135462 0.031103
0.253626 1.090930 0.029961
0.388695 1.166864 0.027639
0.595695 1.123227 0.024732
0.912932 1.135718 0.022343
1.399115 1.089850 0.018435
2.144213 1.064386 0.025868
3.286114 1.010231 0.016880
5.036134 0.908149 0.019190
7.718128 0.773887 0.010736
11.828418 0.517233 0.007064
18.127642 0.198076 0.005274 
27.781519 0.060548 0.003284
42.576569 0.020045 0.003267
65.250723  0.006510 0.002833
100.000000 0.010889 0.002614
