# L=2,N=2,l_A=1,U=1.0
# beta    S2(l_A)   Error
  0.1000  1.074625  0.001245
  1.0000  0.892794  0.002069
  2.0000  0.889862  0.002676
  3.0000  0.887190  0.002673
  4.0000  0.889371  0.003061
  5.0000  0.884995  0.002877
