# L=2,N=2,l_A=1,U=0.1
# beta    S2(l_A)   Error
  0.1000  1.084828  0.001483
  1.0000  0.974517  0.002555
  2.0000  0.971770  0.003023
  3.0000  0.971958  0.003606
  4.0000  0.981328  0.004102
  5.0000  0.976660  0.005234
