# L=2,N=2,l_A=2,U=10.0
# beta    S2(l_A)   Error
  0.1000  0.842608  0.000937
  1.0000  0.223889  0.000585
  2.0000  0.222155  0.000919
  3.0000  0.222493  0.001242
  4.0000  0.220614  0.001808
  5.0000  0.224943  0.001335
