0.000000 2 0 0 -1 21 0 0 0.000000 4 0 0 -1 6 1 1 
0.000000 0 1 1 -1 22 0 0 0.000000 0 1 1 -1 18 1 1 
0.000000 1 2 2 -1 11 0 0 0.000000 0 2 2 -1 10 1 1 
0.000000 1 3 3 -1 24 0 0 0.000000 1 3 3 -1 17 1 1 
0.869325 3 2 3 16 -1 0 0 0.812011 1 1 0 13 -1 1 1 
0.869325 0 3 2 8 -1 0 0 0.812011 1 0 1 15 -1 1 1 
0.610587 2 2 1 18 15 0 0 0.063956 3 0 3 0 7 1 1 
0.610587 0 1 2 20 13 0 0 0.318127 2 0 0 6 8 1 1 
0.687304 1 3 2 17 5 0 0 0.500000 1 0 0 7 15 1 0 
0.500000 2 0 0 14 19 0 1 0.434346 1 3 2 17 -1 1 1 
0.130276 0 1 2 22 20 0 0 0.434346 1 2 3 2 11 1 1 
0.130276 2 2 1 2 18 0 0 0.689175 0 2 1 10 14 1 1 
0.413872 1 3 2 24 17 0 0 0.689175 2 1 2 18 16 1 1 
0.781342 1 1 2 7 -1 0 0 0.782264 2 1 2 16 4 1 1 
0.465764 1 0 3 23 9 0 0 0.782264 1 2 1 11 -1 1 1 
0.687304 3 2 3 6 16 0 0 0.695432 0 0 1 8 5 1 1 
0.781342 2 2 1 15 4 0 0 0.695432 3 1 0 12 13 1 1 
0.465764 2 3 0 12 8 0 0 0.063956 2 3 0 3 9 1 1 
0.413872 1 2 3 11 6 0 0 0.141124 1 1 1 1 12 1 1 
0.570210 1 0 1 9 -1 0 0 -1.000000 -1 -1 -1 -1 -1 -1 -1 
0.570210 1 1 0 10 7 0 0 -1.000000 -1 -1 -1 -1 -1 -1 -1 
0.111411 1 0 1 0 23 0 0 -1.000000 -1 -1 -1 -1 -1 -1 -1 
0.111411 1 1 0 1 10 0 0 -1.000000 -1 -1 -1 -1 -1 -1 -1 
0.155092 2 0 0 21 14 0 0 -1.000000 -1 -1 -1 -1 -1 -1 -1 
0.026009 0 3 3 3 12 0 0 -1.000000 -1 -1 -1 -1 -1 -1 -1 
