0 29 58 
0 12 39 
0 21 37 
0 11 75 
0 22 109 
0 35 77 
0 58 126 
0 23 74 
0 18 174 
0 32 154 
0 15 48 
0 11 64 
0 30 163 
0 35 81 
0 8 85 
0 36 102 
0 26 101 
0 17 120 
0 23 60 
0 50 101 
0 17 43 
0 25 89 
0 23 136 
0 16 155 
0 51 91 
0 28 99 
0 14 57 
0 28 23 
0 47 93 
0 32 111 
0 22 36 
0 68 119 
0 11 90 
0 11 112 
0 26 65 
0 31 181 
0 18 83 
0 64 50 
0 82 97 
0 55 85 
0 30 54 
0 34 85 
0 2 182 
0 40 68 
0 33 125 
0 19 55 
0 9 56 
0 23 96 
0 40 41 
0 45 102 
0 20 113 
0 6 108 
0 27 150 
0 38 89 
0 34 83 
0 40 76 
0 33 88 
0 6 68 
0 11 67 
0 14 55 
0 27 75 
0 47 46 
0 35 50 
0 44 104 
0 14 68 
0 8 110 
0 54 96 
0 20 40 
0 18 61 
0 29 38 
0 16 81 
0 5 37 
0 11 161 
0 32 100 
0 30 140 
0 60 50 
0 44 87 
0 41 154 
0 23 97 
0 19 168 
0 64 70 
0 12 78 
0 22 79 
0 48 88 
0 30 86 
0 43 124 
0 15 120 
0 53 115 
0 14 117 
0 23 86 
0 30 43 
0 20 66 
0 38 95 
0 22 39 
0 19 90 
0 16 74 
0 45 40 
0 30 87 
0 22 119 
0 28 60 
0 13 89 
0 32 117 
0 53 85 
0 101 160 
0 65 107 
0 17 86 
0 24 91 
0 41 64 
0 36 117 
0 21 43 
0 40 63 
0 39 103 
0 11 48 
0 6 104 
0 25 103 
0 26 108 
0 22 220 
0 20 103 
0 31 150 
0 50 12 
0 26 140 
0 80 74 
0 36 90 
0 26 76 
0 86 78 
0 7 108 
0 33 120 
0 39 132 
0 12 129 
0 27 40 
0 52 97 
0 37 72 
0 19 68 
0 43 107 
0 13 84 
0 34 123 
0 32 56 
0 2 110 
0 23 46 
0 15 89 
0 45 113 
0 26 66 
0 38 103 
0 26 82 
0 26 80 
0 59 100 
0 32 77 
0 49 45 
0 27 117 
0 30 70 
0 14 101 
0 15 77 
0 30 123 
0 49 82 
0 24 139 
0 8 50 
0 22 49 
0 15 98 
0 10 96 
0 23 92 
0 17 92 
0 53 26 
0 48 50 
0 54 84 
0 22 127 
0 27 41 
0 40 82 
0 28 122 
0 14 113 
0 13 77 
0 39 123 
0 31 174 
0 8 102 
0 18 53 
0 24 35 
0 17 71 
0 34 93 
0 19 82 
0 17 60 
0 24 159 
0 20 76 
0 21 60 
0 20 117 
0 27 136 
0 31 92 
0 59 45 
0 27 62 
0 42 95 
0 69 63 
0 16 93 
0 13 119 
0 56 63 
0 31 39 
0 26 74 
0 22 94 
0 44 72 
0 18 68 
0 9 52 
0 27 75 
0 51 92 
0 15 136 
0 29 54 
0 27 47 
0 39 59 
0 31 123 
0 21 94 
0 21 120 
0 25 33 
0 34 90 
0 31 185 
0 14 122 
0 50 78 
0 6 77 
0 37 72 
0 23 189 
0 45 103 
0 29 52 
0 33 73 
0 34 99 
0 16 34 
0 7 66 
0 18 70 
0 37 90 
0 41 104 
0 43 122 
0 17 82 
0 41 110 
0 25 82 
0 18 127 
0 25 94 
0 16 45 
0 46 117 
0 55 71 
0 45 118 
0 38 81 
0 38 66 
0 43 77 
0 29 71 
0 25 38 
0 23 71 
0 41 183 
0 30 103 
0 6 70 
0 25 134 
0 24 98 
0 26 77 
0 66 140 
0 20 88 
0 27 56 
0 39 62 
0 45 114 
0 17 48 
0 12 107 
0 23 110 
0 30 55 
0 6 137 
0 12 157 
0 21 147 
0 16 76 
0 15 125 
0 41 119 
0 27 72 
0 59 99 
0 25 68 
0 39 109 
0 35 161 
0 33 117 
0 38 62 
0 23 78 
0 15 68 
0 50 138 
0 15 71 
0 7 111 
0 24 59 
0 4 75 
0 38 67 
0 47 61 
0 8 46 
0 18 72 
0 32 60 
0 17 74 
0 22 65 
0 12 106 
0 12 93 
0 20 71 
0 25 10 
0 13 60 
0 3 65 
0 34 83 
0 24 57 
0 52 149 
0 25 81 
0 31 63 
0 14 115 
0 21 36 
0 8 62 
0 45 46 
0 14 94 
0 42 94 
0 26 82 
0 1 91 
0 37 75 
0 33 42 
0 48 72 
0 22 102 
0 21 68 
0 20 96 
0 19 72 
0 7 68 
0 31 75 
0 13 70 
0 18 51 
0 3 64 
0 21 77 
0 31 68 
0 38 53 
0 46 87 
0 48 67 
0 6 84 
0 3 61 
0 46 48 
0 52 47 
0 80 43 
0 42 55 
0 35 47 
0 17 114 
0 26 55 
0 14 116 
0 13 71 
0 16 69 
0 16 192 
0 20 120 
0 23 76 
0 9 134 
0 8 63 
0 36 102 
0 50 81 
0 11 88 
0 37 42 
0 42 52 
0 51 126 
0 33 88 
0 11 128 
0 48 88 
0 20 106 
0 16 214 
0 59 125 
0 48 125 
0 9 66 
0 31 124 
0 22 76 
0 31 81 
0 20 66 
0 10 54 
0 43 139 
0 19 170 
0 10 63 
0 13 143 
0 20 79 
0 13 60 
0 15 76 
0 30 98 
0 49 142 
0 47 135 
0 14 120 
0 27 89 
0 28 47 
0 28 94 
0 20 42 
0 40 82 
0 27 81 
0 35 135 
0 17 70 
0 19 85 
0 34 52 
0 45 123 
0 29 65 
0 53 35 
0 15 109 
0 20 31 
0 46 42 
0 33 88 
0 67 119 
0 13 41 
0 51 96 
0 27 77 
0 35 122 
0 12 71 
0 8 89 
0 12 76 
0 7 93 
0 13 47 
0 10 140 
0 30 70 
0 28 119 
0 28 67 
0 37 84 
0 53 37 
0 49 87 
0 9 116 
0 42 92 
0 64 87 
0 58 61 
0 36 117 
0 45 106 
0 26 142 
0 25 93 
0 51 68 
0 13 32 
0 7 106 
0 3 147 
0 30 46 
0 13 159 
0 28 98 
0 18 79 
0 15 69 
0 27 105 
0 16 59 
0 41 111 
0 44 72 
0 22 94 
0 35 80 
0 31 44 
0 87 136 
0 47 88 
0 38 83 
0 13 62 
0 9 113 
0 15 73 
0 14 107 
0 25 93 
0 31 135 
0 52 36 
0 40 45 
0 41 107 
0 4 138 
0 22 84 
0 7 34 
0 24 149 
0 6 50 
0 54 99 
0 42 75 
0 20 65 
0 59 156 
0 44 85 
0 30 90 
0 27 58 
0 28 104 
0 34 106 
0 35 85 
0 42 121 
0 18 114 
0 18 170 
0 25 117 
0 25 112 
0 13 106 
0 12 129 
0 60 78 
0 6 93 
0 23 52 
0 47 48 
0 47 104 
0 14 133 
