615 210 175 
479 270 251 
743 195 62 
625 236 139 
700 153 147 
521 301 178 
744 143 113 
601 258 141 
601 224 175 
623 226 151 
550 290 160 
584 213 203 
676 264 60 
636 154 210 
639 223 138 
474 250 276 
581 211 208 
537 245 218 
694 202 104 
698 194 108 
562 254 184 
533 155 312 
551 286 163 
563 156 281 
689 172 139 
582 255 163 
602 195 203 
512 211 277 
706 204 90 
611 232 157 
599 287 114 
545 247 208 
673 210 117 
607 209 184 
632 199 169 
643 186 171 
628 172 200 
658 245 97 
563 211 226 
637 191 172 
611 169 220 
654 166 180 
654 206 140 
593 220 187 
587 231 182 
545 216 239 
558 265 177 
597 147 256 
628 142 230 
561 201 238 
621 253 126 
585 230 185 
590 214 196 
603 224 173 
713 177 110 
645 164 191 
556 256 188 
587 194 219 
694 181 125 
464 162 374 
544 195 261 
747 132 121 
700 221 79 
675 185 140 
563 203 234 
702 185 113 
620 231 149 
633 206 161 
560 213 227 
634 245 121 
646 218 136 
592 261 147 
578 254 168 
677 196 127 
607 271 122 
693 150 157 
607 224 169 
639 211 150 
558 211 231 
579 217 204 
548 174 278 
645 189 166 
676 173 151 
605 268 127 
694 210 96 
637 208 155 
618 196 186 
706 206 88 
632 236 132 
582 252 166 
647 190 163 
609 217 174 
619 233 148 
547 234 219 
703 213 84 
608 206 186 
650 150 200 
589 193 218 
615 232 153 
612 227 161 
579 213 208 
609 188 203 
733 149 118 
575 215 210 
544 216 240 
638 222 140 
579 262 159 
602 190 208 
718 193 89 
699 177 124 
652 177 171 
511 189 300 
640 253 107 
710 200 90 
685 191 124 
653 190 157 
634 211 155 
603 267 130 
604 256 140 
679 182 139 
646 175 179 
692 206 102 
731 181 88 
614 230 156 
567 298 135 
658 200 142 
623 187 190 
622 236 142 
583 198 219 
589 172 239 
529 313 158 
622 219 159 
568 212 220 
592 253 155 
717 216 67 
653 246 101 
601 177 222 
665 190 145 
620 272 108 
483 253 264 
524 183 293 
625 201 174 
592 164 244 
628 211 161 
643 150 207 
578 209 213 
609 278 113 
496 223 281 
647 219 134 
668 181 151 
635 268 97 
541 227 232 
528 139 333 
555 177 268 
558 233 209 
731 161 108 
563 213 224 
627 225 148 
598 134 268 
674 164 162 
656 280 64 
548 212 240 
739 149 112 
593 273 134 
663 220 117 
644 265 91 
496 174 330 
652 204 144 
712 215 73 
608 197 195 
707 196 97 
595 247 158 
612 205 183 
512 250 238 
651 278 71 
633 181 186 
642 210 148 
602 187 211 
590 206 204 
607 142 251 
601 190 209 
632 264 104 
632 215 153 
657 196 147 
581 118 301 
645 220 135 
589 232 179 
596 233 171 
614 240 146 
507 225 268 
672 171 157 
550 216 234 
521 279 200 
