79 73 
87 61 
53 73 
64 52 
56 76 
61 71 
45 85 
44 40 
84 80 
73 75 
58 74 
55 69 
28 98 
79 61 
59 47 
74 58 
67 67 
95 63 
67 83 
69 53 
75 49 
54 90 
96 48 
58 70 
79 61 
63 59 
70 100 
72 54 
78 54 
55 79 
58 66 
80 46 
62 68 
57 73 
64 88 
93 55 
78 60 
63 49 
90 46 
92 70 
72 68 
35 83 
66 64 
67 67 
68 66 
60 82 
50 100 
77 37 
47 83 
49 71 
89 75 
53 47 
52 60 
91 39 
94 22 
86 68 
52 78 
50 70 
31 75 
63 73 
47 77 
82 66 
73 73 
50 70 
62 84 
57 79 
66 72 
69 55 
69 87 
102 28 
77 49 
64 52 
72 68 
68 80 
80 68 
69 77 
90 22 
56 92 
71 81 
71 45 
67 91 
91 53 
34 66 
71 41 
36 106 
89 67 
70 82 
41 97 
71 73 
49 81 
65 73 
81 67 
78 50 
95 39 
71 39 
80 58 
49 85 
39 93 
58 98 
50 72 
48 72 
55 85 
68 62 
61 81 
44 64 
82 62 
69 69 
65 85 
55 73 
72 32 
72 56 
46 100 
41 81 
38 86 
48 76 
81 53 
55 95 
54 60 
68 70 
69 81 
16 74 
48 84 
67 53 
73 67 
55 91 
51 85 
50 60 
63 69 
34 76 
70 88 
80 38 
53 81 
52 82 
85 63 
85 63 
44 98 
55 57 
77 75 
47 73 
79 55 
49 89 
63 87 
68 68 
66 88 
88 52 
83 71 
78 52 
59 69 
74 52 
67 85 
76 48 
83 57 
65 85 
73 57 
79 39 
60 72 
52 68 
55 73 
83 49 
71 49 
72 58 
77 43 
70 68 
71 39 
18 92 
82 58 
85 47 
83 53 
60 64 
58 82 
72 70 
75 73 
56 82 
66 68 
42 72 
96 64 
89 51 
77 77 
83 73 
82 66 
68 58 
71 65 
76 42 
49 81 
51 65 
40 74 
74 48 
63 73 
31 87 
82 72 
87 67 
64 92 
69 75 
78 90 
83 53 
51 71 
80 46 
72 64 
78 50 
67 39 
79 85 
77 69 
27 91 
68 68 
63 75 
75 45 
52 68 
66 78 
52 90 
59 73 
63 97 
94 48 
47 63 
46 74 
42 82 
59 59 
74 56 
84 82 
68 68 
73 57 
10 98 
66 66 
80 60 
41 95 
81 47 
49 79 
73 45 
77 47 
72 70 
88 72 
56 58 
57 71 
49 87 
72 52 
59 71 
31 43 
46 74 
54 92 
80 62 
68 72 
75 63 
89 65 
83 81 
44 98 
60 80 
84 62 
77 45 
37 81 
62 82 
59 67 
36 94 
85 67 
52 84 
55 93 
62 66 
63 63 
74 56 
72 62 
54 56 
31 77 
75 69 
76 42 
44 80 
95 49 
60 76 
85 75 
51 81 
72 38 
69 71 
46 64 
79 89 
63 79 
67 55 
86 56 
84 38 
88 64 
63 67 
55 77 
65 81 
55 73 
63 57 
22 96 
57 83 
65 89 
76 62 
71 59 
67 65 
53 63 
72 70 
74 64 
29 83 
29 95 
66 48 
89 77 
45 93 
67 67 
73 69 
63 67 
65 65 
56 100 
19 83 
71 95 
60 90 
63 73 
62 70 
95 61 
66 72 
94 40 
53 67 
49 81 
74 72 
47 73 
50 64 
62 64 
52 46 
84 60 
49 63 
106 34 
72 46 
75 49 
50 80 
86 80 
96 72 
72 66 
74 46 
67 39 
65 83 
73 35 
65 77 
63 87 
57 85 
67 47 
63 75 
89 69 
80 78 
70 66 
48 94 
54 90 
91 37 
74 56 
52 64 
62 40 
65 69 
84 66 
95 47 
79 47 
90 60 
92 38 
80 42 
62 52 
67 45 
71 93 
65 51 
71 45 
76 40 
78 60 
66 70 
68 44 
96 38 
76 66 
70 74 
83 63 
53 71 
58 50 
46 84 
73 47 
75 65 
85 93 
16 80 
81 57 
87 63 
72 50 
85 89 
83 71 
78 78 
67 69 
63 103 
50 90 
64 88 
76 82 
70 78 
65 73 
59 69 
78 72 
88 42 
70 56 
77 65 
58 68 
72 68 
68 80 
49 87 
78 50 
83 85 
69 67 
87 97 
64 72 
75 77 
59 59 
80 52 
71 73 
69 63 
70 76 
70 72 
64 64 
71 65 
78 76 
68 100 
74 44 
65 83 
78 60 
73 51 
73 79 
43 87 
79 77 
63 77 
71 61 
93 53 
72 68 
100 52 
34 80 
63 71 
65 79 
60 64 
52 50 
74 46 
50 82 
68 80 
102 20 
68 50 
52 74 
66 86 
71 87 
74 72 
48 78 
61 79 
61 61 
77 73 
68 52 
62 58 
33 91 
32 86 
42 86 
97 41 
64 84 
81 67 
81 73 
71 73 
56 70 
74 48 
93 51 
73 59 
90 56 
53 73 
65 43 
59 83 
55 71 
73 63 
48 90 
74 56 
78 68 
71 81 
76 80 
84 42 
44 66 
50 92 
73 83 
41 91 
62 94 
65 57 
37 85 
75 67 
65 55 
