0 34 82 
0 8 98 
0 24 118 
0 22 131 
0 14 117 
0 43 82 
0 24 74 
0 5 60 
0 14 87 
0 14 82 
0 21 86 
0 26 137 
0 23 115 
0 18 83 
0 8 81 
0 34 74 
0 70 76 
0 18 122 
0 91 157 
0 26 137 
0 30 118 
0 33 107 
0 19 78 
0 25 42 
0 30 153 
0 20 181 
0 37 45 
0 28 56 
0 20 117 
0 34 102 
0 38 140 
0 13 224 
0 33 105 
0 18 148 
0 48 79 
0 28 113 
0 34 72 
0 23 61 
0 20 45 
0 12 47 
0 13 88 
0 40 59 
0 14 105 
0 38 221 
0 45 81 
0 47 49 
0 18 92 
0 19 171 
0 16 120 
0 72 33 
0 58 85 
0 24 121 
0 28 120 
0 37 27 
0 26 51 
0 25 83 
0 37 120 
0 13 42 
0 42 99 
0 54 153 
0 32 53 
0 34 89 
0 50 62 
0 44 88 
0 13 86 
0 12 128 
0 43 29 
0 58 74 
0 16 77 
0 23 115 
0 16 75 
0 32 54 
0 34 77 
0 32 56 
0 14 69 
0 20 44 
0 38 53 
0 12 114 
0 23 65 
0 40 42 
0 28 86 
0 39 67 
0 22 31 
0 38 117 
0 49 67 
0 25 67 
0 30 47 
0 37 64 
0 58 58 
0 40 93 
0 54 90 
0 31 48 
0 32 89 
0 48 76 
0 8 132 
0 40 115 
0 7 72 
0 10 162 
0 39 50 
0 19 66 
0 13 31 
0 20 101 
0 32 90 
0 18 57 
0 28 51 
0 0 105 
0 38 143 
0 27 79 
0 16 111 
0 14 119 
0 26 112 
0 43 36 
0 33 51 
0 7 39 
0 15 136 
0 18 59 
0 20 93 
0 47 94 
0 42 56 
0 19 73 
0 58 92 
0 22 38 
0 31 90 
0 26 42 
0 38 94 
0 33 165 
0 46 78 
0 21 55 
0 12 108 
0 29 58 
0 10 86 
0 52 69 
0 43 45 
0 18 81 
0 7 40 
0 36 162 
0 26 86 
0 25 88 
0 32 83 
0 44 70 
0 40 76 
0 50 40 
0 45 88 
0 8 176 
0 41 69 
0 30 100 
0 14 62 
0 16 77 
0 65 68 
0 52 98 
0 33 52 
0 29 61 
0 30 98 
0 31 130 
0 40 83 
0 7 79 
0 67 70 
0 48 25 
0 28 141 
0 33 81 
0 33 91 
0 21 77 
0 28 72 
0 46 144 
0 38 71 
0 21 48 
0 17 51 
0 6 109 
0 2 81 
0 45 152 
0 7 128 
0 29 130 
0 18 161 
0 13 108 
0 15 131 
0 45 73 
0 28 72 
0 10 110 
0 8 89 
0 54 165 
0 65 87 
0 26 98 
0 19 37 
0 16 104 
0 50 154 
0 36 188 
0 29 62 
0 17 29 
0 14 64 
0 16 50 
0 49 72 
0 39 53 
0 39 91 
0 37 138 
0 30 91 
0 26 50 
0 16 112 
0 28 69 
0 20 72 
0 26 149 
0 17 78 
0 35 71 
0 18 44 
0 10 117 
0 30 76 
0 30 38 
0 23 111 
0 25 46 
0 30 168 
0 26 135 
0 13 115 
0 41 197 
0 20 95 
0 33 100 
0 28 59 
0 25 123 
0 41 93 
0 19 57 
0 29 97 
0 22 82 
0 54 147 
0 62 35 
0 59 68 
0 18 67 
0 29 154 
0 35 78 
0 18 95 
0 12 62 
0 35 122 
0 41 67 
0 47 120 
0 21 31 
0 46 34 
0 42 70 
0 33 103 
0 14 127 
0 24 94 
0 26 51 
0 23 46 
0 39 35 
0 21 83 
0 26 73 
0 16 83 
0 22 146 
0 43 62 
0 16 158 
0 36 56 
0 48 108 
0 28 120 
0 12 156 
0 17 135 
0 37 125 
0 12 130 
0 19 74 
0 14 60 
0 26 80 
0 11 89 
0 16 59 
0 44 93 
0 26 53 
0 30 116 
0 18 93 
0 39 71 
0 14 123 
0 31 77 
0 24 35 
0 32 46 
0 23 116 
0 28 161 
0 39 75 
0 38 103 
0 32 52 
0 6 65 
0 27 98 
0 34 131 
0 21 116 
0 17 107 
0 22 105 
0 40 74 
0 29 92 
0 20 51 
0 16 63 
0 24 118 
0 47 42 
0 42 113 
0 27 81 
0 18 53 
0 31 81 
0 37 55 
0 33 110 
0 15 58 
0 46 59 
0 82 188 
0 43 83 
0 22 37 
0 67 49 
0 21 131 
0 35 50 
0 27 71 
0 22 101 
0 54 58 
0 14 76 
0 22 37 
0 28 57 
0 49 109 
0 4 136 
0 31 94 
0 26 61 
0 22 97 
0 35 105 
0 26 38 
0 35 116 
0 22 36 
0 24 114 
0 17 79 
0 29 147 
0 18 111 
0 29 111 
0 15 58 
0 22 64 
0 29 112 
0 3 185 
0 37 53 
0 37 94 
0 32 97 
0 34 76 
0 9 116 
0 22 61 
0 31 85 
0 31 116 
0 28 87 
0 13 81 
0 83 130 
0 24 123 
0 20 93 
0 4 144 
0 18 52 
0 5 200 
0 23 80 
0 100 155 
0 39 86 
0 16 31 
0 24 51 
0 17 111 
0 10 102 
0 24 59 
0 48 52 
0 9 29 
0 36 152 
0 50 113 
0 13 117 
0 25 159 
0 35 40 
0 15 84 
0 37 109 
0 11 34 
0 27 55 
0 30 179 
0 38 123 
0 30 119 
0 25 62 
0 31 101 
0 10 66 
0 37 136 
0 22 113 
0 44 58 
0 22 40 
0 38 177 
0 20 93 
0 19 88 
0 47 65 
0 16 65 
0 69 72 
0 43 116 
0 7 116 
0 20 89 
0 15 65 
0 16 85 
0 61 43 
0 31 65 
0 27 35 
0 58 97 
0 26 59 
0 26 70 
0 40 93 
0 15 76 
0 6 114 
0 7 82 
0 54 62 
0 17 93 
0 37 75 
0 34 48 
0 12 33 
0 8 125 
0 47 100 
0 24 130 
0 37 171 
0 1 47 
0 28 160 
0 19 57 
0 7 122 
0 30 38 
0 24 66 
0 39 76 
0 19 86 
0 11 102 
0 21 113 
0 18 47 
0 40 55 
0 47 89 
0 33 163 
0 54 80 
0 32 72 
0 29 92 
0 41 57 
0 21 115 
0 39 97 
0 37 49 
0 22 113 
0 25 83 
0 20 75 
0 26 80 
0 53 88 
0 32 31 
0 22 116 
0 29 55 
0 33 75 
0 21 156 
0 59 75 
0 29 112 
0 21 98 
0 53 90 
0 40 94 
0 24 44 
0 17 163 
0 44 32 
0 11 52 
0 53 41 
0 34 82 
0 22 82 
0 0 81 
0 48 33 
0 21 239 
0 39 80 
0 35 80 
0 29 100 
0 28 80 
0 6 94 
0 15 190 
0 34 123 
0 29 55 
0 27 29 
0 67 160 
0 21 190 
0 20 134 
0 25 116 
0 64 62 
0 46 39 
0 40 46 
0 39 155 
0 18 64 
0 45 78 
0 32 110 
0 32 45 
0 44 70 
0 7 32 
0 28 56 
0 21 86 
0 43 96 
0 42 70 
0 23 94 
0 32 100 
0 15 116 
0 38 119 
0 8 120 
0 22 61 
0 22 136 
0 46 144 
0 4 70 
0 14 86 
0 26 92 
0 18 58 
0 29 163 
0 16 105 
0 32 45 
0 24 52 
0 37 122 
0 4 67 
0 44 105 
0 7 126 
0 25 67 
0 19 190 
0 33 47 
0 15 113 
0 12 110 
0 20 127 
0 44 97 
0 27 68 
0 13 149 
0 24 65 
0 23 138 
0 19 104 
0 11 47 
0 48 94 
0 34 95 
0 32 87 
0 21 42 
0 23 36 
0 22 41 
0 25 70 
0 28 99 
0 41 53 
0 26 72 
0 16 79 
0 30 70 
0 12 130 
0 22 213 
0 17 152 
0 18 22 
0 43 72 
0 31 120 
0 53 65 
0 21 135 
0 67 98 
0 28 58 
0 40 45 
0 10 82 
0 12 93 
0 45 140 
0 9 132 
0 74 59 
0 17 122 
0 36 106 
0 27 70 
0 39 59 
0 31 119 
0 17 147 
0 16 133 
0 26 160 
0 18 73 
0 18 50 
0 43 48 
0 35 38 
