135 44 22 
109 58 34 
119 10 72 
124 45 32 
136 29 36 
165 22 14 
139 36 26 
100 63 38 
91 75 35 
114 47 40 
106 57 38 
111 58 32 
116 31 54 
113 35 53 
130 51 20 
132 37 32 
105 71 25 
125 34 42 
149 24 28 
91 53 57 
116 37 48 
126 55 20 
131 42 28 
113 73 15 
100 57 44 
150 34 17 
135 38 28 
66 32 103 
98 53 50 
113 35 53 
131 44 26 
152 19 30 
78 55 68 
80 21 100 
143 58 0 
122 64 15 
135 50 16 
118 28 55 
122 22 57 
124 39 38 
128 42 31 
126 59 16 
146 27 28 
62 52 87 
154 25 22 
109 48 44 
105 57 39 
119 54 28 
116 61 24 
87 15 99 
123 52 26 
126 48 27 
143 32 26 
130 41 30 
143 27 31 
144 45 12 
148 25 28 
137 24 40 
140 31 30 
157 24 20 
118 71 12 
161 30 10 
122 34 45 
146 38 17 
124 42 35 
166 26 9 
109 47 45 
105 40 56 
155 40 6 
111 33 57 
133 42 26 
85 29 87 
99 42 60 
110 66 25 
111 41 49 
94 51 56 
138 30 33 
111 41 49 
145 24 32 
95 80 26 
122 51 28 
121 18 62 
137 26 38 
152 43 6 
120 56 25 
37 35 129 
89 35 77 
108 70 23 
111 37 53 
132 50 19 
107 51 43 
125 34 42 
121 31 49 
106 41 54 
106 53 42 
107 56 38 
110 39 52 
126 63 12 
134 40 27 
113 57 31 
98 35 68 
124 31 46 
146 23 32 
123 51 27 
149 30 22 
99 69 33 
76 51 74 
110 65 26 
120 59 22 
104 36 61 
121 37 43 
157 27 17 
116 54 31 
106 48 47 
109 58 34 
119 60 22 
82 61 58 
123 35 43 
132 40 29 
142 42 17 
159 26 16 
86 45 70 
92 57 52 
128 29 44 
133 39 29 
116 39 46 
122 58 21 
110 42 49 
175 10 16 
107 52 42 
133 39 29 
81 50 70 
154 41 6 
144 33 24 
100 86 15 
95 29 77 
126 13 62 
135 51 15 
142 43 16 
146 24 31 
129 12 60 
157 27 17 
114 40 47 
124 50 27 
133 39 29 
120 48 33 
127 53 21 
116 43 42 
102 57 42 
137 35 29 
134 31 36 
139 24 38 
140 41 20 
117 51 33 
109 60 32 
136 29 36 
104 47 50 
93 39 69 
131 42 28 
80 33 88 
142 46 13 
144 33 24 
135 40 26 
85 41 75 
123 34 44 
108 46 47 
110 27 64 
112 18 71 
109 50 42 
106 55 40 
146 43 12 
125 61 15 
99 46 56 
103 46 52 
77 24 100 
107 67 27 
109 16 76 
144 44 13 
116 54 31 
140 40 21 
128 20 53 
86 55 60 
140 43 18 
135 49 17 
99 56 46 
82 74 45 
119 54 28 
152 40 9 
152 28 21 
122 49 30 
120 60 21 
134 52 15 
148 36 17 
114 32 55 
151 37 13 
147 37 17 
103 45 53 
117 34 50 
120 43 38 
128 59 14 
159 36 6 
102 37 62 
147 30 24 
86 39 76 
136 49 16 
82 20 99 
107 38 56 
158 33 10 
122 50 29 
117 29 55 
141 19 41 
104 22 75 
73 39 89 
84 61 56 
122 33 46 
116 40 45 
123 59 19 
108 38 55 
127 20 54 
139 46 16 
77 62 62 
105 41 55 
163 14 24 
127 40 34 
120 40 41 
88 63 50 
111 68 22 
137 51 13 
111 22 68 
105 46 50 
56 26 119 
114 61 26 
125 30 46 
154 18 29 
102 37 62 
109 48 44 
101 30 70 
176 12 13 
119 39 43 
83 25 93 
96 60 45 
72 38 91 
131 51 19 
165 22 14 
90 38 73 
117 62 22 
121 42 38 
92 57 52 
98 46 57 
140 44 17 
145 25 31 
86 25 90 
134 52 15 
106 60 35 
147 35 19 
127 50 24 
103 49 49 
126 41 34 
144 39 18 
94 49 58 
123 24 54 
110 49 42 
138 42 21 
163 24 14 
85 42 74 
156 36 9 
125 36 40 
124 45 32 
118 62 21 
113 26 62 
150 26 25 
139 25 37 
123 51 27 
140 56 5 
137 51 13 
78 34 89 
145 33 23 
123 26 52 
105 53 43 
134 55 12 
117 14 70 
104 30 67 
112 54 35 
102 32 67 
110 57 34 
98 52 51 
99 45 57 
125 48 28 
114 59 28 
133 37 31 
164 31 6 
135 46 20 
145 17 39 
147 38 16 
131 44 26 
101 45 55 
121 43 37 
134 44 23 
126 23 52 
125 54 22 
69 50 82 
84 49 68 
134 41 26 
116 44 41 
150 29 22 
123 47 31 
151 35 15 
92 62 47 
152 28 21 
87 59 55 
97 62 42 
109 25 67 
95 67 39 
145 42 14 
142 35 24 
147 37 17 
151 23 27 
139 38 24 
128 51 22 
97 27 77 
105 74 22 
141 38 22 
145 43 13 
99 49 53 
103 46 52 
109 31 61 
123 40 38 
124 40 37 
143 21 37 
139 47 15 
129 41 31 
159 26 16 
136 45 20 
141 42 18 
121 45 35 
86 38 77 
143 41 17 
89 68 44 
134 49 18 
120 32 49 
106 34 61 
108 59 34 
137 47 17 
132 55 14 
113 65 23 
113 54 34 
77 52 72 
113 57 31 
103 38 60 
120 58 23 
95 57 49 
107 46 48 
103 26 72 
129 40 32 
127 54 20 
118 68 15 
139 44 18 
138 45 18 
61 38 102 
89 27 85 
102 30 69 
119 53 29 
70 53 78 
122 34 45 
107 44 50 
141 35 25 
140 32 29 
106 53 42 
136 39 26 
98 57 46 
130 34 37 
158 31 12 
124 54 23 
148 39 14 
146 45 10 
122 38 41 
105 63 33 
103 37 61 
161 33 7 
151 19 31 
69 64 68 
135 42 24 
120 48 33 
71 41 89 
132 23 46 
113 66 22 
132 39 30 
126 37 38 
124 62 15 
137 37 27 
153 31 17 
94 40 67 
150 29 22 
159 32 10 
159 20 22 
120 40 41 
123 52 26 
102 67 32 
134 41 26 
135 27 39 
126 36 39 
127 46 28 
134 48 19 
121 35 45 
117 35 49 
105 41 55 
149 41 11 
123 48 30 
104 50 47 
127 34 40 
115 41 45 
167 15 19 
83 52 66 
117 59 25 
128 46 27 
126 57 18 
117 37 47 
106 43 52 
112 45 44 
133 23 45 
115 48 38 
100 40 61 
102 38 61 
154 39 8 
140 30 31 
139 46 16 
103 50 48 
107 50 44 
158 42 1 
153 36 12 
99 48 54 
140 24 37 
112 46 43 
43 41 117 
147 29 25 
99 46 56 
148 41 12 
153 37 11 
114 29 58 
116 54 31 
111 57 33 
98 62 41 
124 44 33 
119 52 30 
137 42 22 
141 20 40 
102 70 29 
124 31 46 
142 34 25 
96 66 39 
143 43 15 
135 52 14 
121 50 30 
136 50 15 
142 36 23 
159 7 35 
92 61 48 
83 50 68 
98 33 70 
148 33 20 
116 39 46 
