[1198,2884,850,68,0] [1259,2553,979,205,4] [1204,2728,996,72,0] [1125,2705,1081,89,0] 
[1111,2636,1018,235,0] [1456,2258,1099,187,0] [1461,2522,935,51,31] [1431,2303,1168,94,4] 
[1110,2666,1147,77,0] [1697,1984,1110,209,0] [1089,2569,1143,178,21] [1563,2497,820,112,8] 
[1338,2739,810,113,0] [1637,1966,1139,258,0] [1159,2642,1052,147,0] [1317,2344,1264,75,0] 
[1054,2708,1066,172,0] [1500,2286,1052,162,0] [1447,2224,1228,101,0] [1333,2567,1082,18,0] 
[1365,2584,925,126,0] [1388,2239,1162,194,17] [1263,2439,1074,224,0] [1493,2444,933,114,16] 
[1181,2816,917,79,7] [1293,2660,939,108,0] [1070,2594,1186,144,6] [1357,2588,952,103,0] 
[1291,2505,1083,121,0] [1290,2289,1197,224,0] [1452,2205,1219,124,0] [1338,2823,744,95,0] 
[1156,2774,1027,43,0] [1064,2886,922,128,0] [1192,2632,1142,34,0] [1197,2817,864,122,0] 
[1105,2505,1305,85,0] [1435,2382,1004,179,0] [1375,2344,1175,106,0] [1425,2603,828,144,0] 
[1158,2603,1124,115,0] [1339,2416,962,283,0] [1325,2339,996,340,0] [1604,2558,808,30,0] 
[1186,2765,977,72,0] [1472,2494,907,127,0] [1154,2410,1336,100,0] [1226,2626,1076,72,0] 
[1499,2589,865,47,0] [1433,1969,1482,116,0] [1179,2495,1128,198,0] [1322,2686,764,212,16] 
[1499,2346,1062,93,0] [1391,2298,1195,116,0] [1196,2723,1023,58,0] [1421,2193,1079,307,0] 
[1249,2530,976,217,28] [1319,2263,1111,284,23] [1639,2275,1017,57,12] [1250,2796,860,94,0] 
