79 90 32 
97 92 12 
84 98 19 
106 81 14 
93 88 20 
123 69 9 
105 78 18 
91 86 24 
100 78 23 
93 83 25 
87 84 30 
124 58 19 
119 75 7 
100 76 25 
92 89 20 
97 82 22 
114 75 12 
89 104 8 
117 73 11 
101 85 15 
78 101 22 
87 81 33 
91 91 19 
73 97 31 
97 83 21 
86 80 35 
85 92 24 
72 97 32 
99 96 6 
102 82 17 
104 82 15 
80 93 28 
111 69 21 
76 83 42 
73 93 35 
94 84 23 
91 88 22 
89 97 15 
86 94 21 
77 97 27 
96 90 15 
102 85 14 
103 85 13 
79 98 24 
96 88 17 
90 95 16 
86 95 20 
119 69 13 
89 100 12 
96 92 13 
96 85 20 
92 90 19 
98 84 19 
87 91 23 
103 85 13 
97 92 12 
84 92 25 
98 90 13 
103 75 23 
86 79 36 
82 90 29 
89 80 32 
100 80 21 
88 94 19 
77 84 40 
87 93 21 
105 83 13 
95 89 17 
79 105 17 
94 87 20 
83 90 28 
71 107 23 
90 95 16 
93 83 25 
119 76 6 
105 79 17 
97 91 13 
103 84 14 
93 95 13 
98 84 19 
94 86 21 
98 88 15 
96 91 14 
91 86 24 
88 93 20 
81 98 22 
96 88 17 
77 96 28 
94 95 12 
104 79 18 
87 87 27 
92 91 18 
112 75 14 
82 99 20 
105 81 15 
88 78 35 
71 100 30 
91 88 22 
93 87 21 
102 82 17 
86 94 21 
118 70 13 
96 80 25 
84 99 18 
83 75 43 
104 87 10 
107 80 14 
102 83 16 
98 83 20 
73 81 47 
113 77 11 
81 95 25 
84 104 13 
112 75 14 
91 86 24 
87 99 15 
118 71 12 
110 85 6 
95 82 24 
94 93 14 
102 92 7 
100 80 21 
108 75 18 
105 80 16 
101 89 11 
87 92 22 
123 67 11 
103 80 18 
79 96 26 
93 87 21 
60 106 35 
117 72 12 
95 85 21 
111 71 19 
99 84 18 
72 95 34 
97 80 24 
85 93 23 
95 86 20 
87 99 15 
95 91 15 
94 87 20 
75 105 21 
75 92 34 
82 95 24 
108 81 12 
92 91 18 
98 84 19 
114 67 20 
90 87 24 
70 109 22 
115 64 22 
91 93 17 
90 82 29 
63 112 26 
106 83 12 
102 81 18 
93 91 17 
78 115 8 
89 88 24 
92 83 26 
103 78 20 
79 78 44 
87 93 21 
90 90 21 
80 105 16 
99 86 16 
119 69 13 
89 90 22 
102 81 18 
96 95 10 
101 74 26 
95 88 18 
85 95 21 
94 99 8 
80 81 40 
114 76 11 
97 86 18 
69 96 36 
89 94 18 
97 82 22 
74 93 34 
75 90 36 
99 90 12 
88 85 28 
79 101 21 
102 72 27 
92 86 23 
91 83 27 
97 87 17 
112 81 8 
97 78 26 
68 100 33 
96 79 26 
110 76 15 
103 85 13 
89 96 16 
87 90 24 
100 83 18 
105 89 7 
90 87 24 
92 90 19 
99 87 15 
107 72 22 
98 83 20 
103 77 21 
105 84 12 
95 83 23 
99 90 12 
82 93 26 
96 79 26 
76 98 27 
79 92 30 
98 79 24 
79 107 15 
78 95 28 
85 92 24 
84 90 27 
103 82 16 
106 77 18 
82 90 29 
70 102 29 
89 87 25 
80 87 34 
115 70 16 
90 97 14 
101 83 17 
88 92 21 
96 82 23 
106 77 18 
103 78 20 
95 90 16 
99 89 13 
93 91 17 
77 87 37 
101 78 22 
93 87 21 
67 113 21 
77 90 34 
92 89 20 
109 71 21 
78 99 24 
86 96 19 
94 94 13 
93 95 13 
91 93 17 
98 77 26 
90 85 26 
74 98 29 
106 76 19 
92 84 25 
89 98 14 
89 79 33 
83 90 28 
119 58 24 
111 85 5 
89 89 23 
99 78 24 
123 66 12 
82 103 16 
73 110 18 
94 90 17 
129 61 11 
98 79 24 
101 74 26 
99 88 14 
106 82 13 
84 89 28 
112 81 8 
96 80 25 
97 91 13 
105 77 19 
110 75 16 
96 88 17 
93 89 19 
84 102 15 
102 83 16 
87 94 20 
99 83 19 
96 77 28 
83 95 23 
94 83 24 
70 105 26 
100 78 23 
106 79 16 
90 97 14 
107 74 20 
90 88 23 
105 81 15 
94 90 17 
90 77 34 
112 76 13 
88 90 23 
94 76 31 
117 70 14 
119 77 5 
101 81 19 
92 85 24 
97 89 15 
98 89 14 
109 74 18 
77 98 26 
102 88 11 
107 78 16 
110 73 18 
101 85 15 
89 83 29 
