# L=4,N=4,l_A=2,U=10.0
# beta    S2(l_A)   Error
  0.1000  1.147225  0.002231
  1.0000  0.223311  0.001123
  2.0000  0.201921  0.000985
  3.0000  0.198991  0.001589
  4.0000  0.201364  0.001375
  5.0000  0.200965  0.001998
