[1316,2698,985,1,0] [2112,2042,833,13,0] [1678,1574,1472,276,0] [821,2361,1579,239,0] 
[1133,3099,660,108,0] [1497,2536,875,92,0] [1658,2752,483,107,0] [591,2328,1915,166,0] 
[805,2808,1049,338,0] [1913,2314,458,315,0] [1716,1678,1360,246,0] [1484,2317,1145,54,0] 
[1720,2544,710,26,0] [1654,2426,885,35,0] [872,2528,643,957,0] [906,3229,852,13,0] 
[881,1635,951,846,687] [2690,1857,453,0,0] [1586,2001,1056,357,0] [2631,1634,609,126,0] 
[972,2968,1060,0,0] [1044,2822,786,348,0] [1526,2453,958,63,0] [1916,1313,1710,61,0] 
[1781,2088,1072,59,0] [1564,2356,932,148,0] [919,1867,1706,508,0] [1793,2292,913,2,0] 
[745,2546,1415,294,0] [1616,2381,978,25,0] [2180,1826,658,336,0] [1010,2876,1038,76,0] 
[1039,2730,1174,57,0] [1937,2196,544,323,0] [874,2538,1179,409,0] [1495,2654,832,19,0] 
[989,3113,897,1,0] [1128,2673,1165,34,0] [1228,2827,945,0,0] [638,3456,906,0,0] 
[1476,2703,821,0,0] [1090,1648,1991,271,0] [2089,2119,579,213,0] [995,2754,1211,40,0] 
[1254,1716,1685,345,0] [1220,3068,409,303,0] [1671,2347,973,9,0] [1708,2083,946,263,0] 
[1489,3079,347,85,0] [1428,2489,796,287,0] [965,2801,944,290,0] [1418,2329,617,636,0] 
[1411,2478,965,146,0] [1496,2498,982,11,13] [1194,2640,837,329,0] [1425,2226,967,382,0] 
[625,3122,1253,0,0] [1262,2021,1417,300,0] [828,3486,682,4,0] [2157,1945,884,14,0] 
[1613,2672,588,127,0] [2163,1978,503,356,0] [1601,1711,1296,392,0] [1257,1983,1024,735,1] 
[2251,1864,570,315,0] [1460,2174,1137,229,0] [1117,1605,1628,650,0] [2044,2066,631,259,0] 
[1698,2261,1041,0,0] [925,2770,1236,69,0] [1969,1965,1028,38,0] [798,2544,1445,213,0] 
[1213,2168,1275,344,0] [829,2685,1486,0,0] [1558,2231,1211,0,0] [2158,2048,490,304,0] 
[1450,2405,1030,115,0] [1646,1829,1374,151,0] [1238,2492,1005,265,0] [1737,1902,1147,189,25] 
[1265,2685,866,184,0] [1738,1759,1297,206,0] [1229,2435,1106,72,158] [1487,2592,790,131,0] 
[1260,2916,824,0,0] [999,2910,916,175,0] [1052,2370,1568,10,0] [1646,2207,1015,132,0] 
[2163,2425,371,41,0] [946,2871,917,266,0] [1531,2341,1106,22,0] [469,2768,1469,294,0] 
[634,2843,1482,41,0] [1085,3072,778,65,0] [1219,2686,948,147,0] [1649,2478,873,0,0] 
[1725,1887,1320,68,0] [974,2806,876,344,0] [1215,2679,1046,60,0] [1027,3365,461,147,0] 
[1776,2254,906,64,0] [921,2954,1013,83,29] [1454,1641,1479,426,0] [1504,2479,1010,7,0] 
[860,2500,1238,402,0] [1623,2786,446,145,0] [943,2367,1488,202,0] [1828,2721,318,133,0] 
[1289,2869,501,341,0] [1600,2191,1053,156,0] [1064,2202,1640,94,0] [1769,1993,1157,54,27] 
[1833,2132,743,292,0] [1642,2422,936,0,0] [1695,1433,1281,591,0] [1559,1707,1465,269,0] 
[1169,3218,567,46,0] [931,2425,1523,121,0] [1020,2499,1257,224,0] [1734,2569,669,28,0] 
[1041,2559,1310,90,0] [960,2686,1260,94,0] [2127,1981,892,0,0] [1454,1851,1638,57,0] 
[1103,2689,1066,142,0] [1659,2450,578,313,0] [1642,1240,1579,477,62] [1713,2485,767,28,7] 
[1426,2928,635,11,0] [1518,2101,1381,0,0] [2017,2313,670,0,0] [512,2406,1399,683,0] 
[1392,2739,829,40,0] [1055,2374,1163,408,0] [1452,2756,764,28,0] [1075,3005,574,346,0] 
